Plot,Replication,Block,Genotype,Population,Spikelet,Grain_number,,,,,Grain_yield(mg),,,,
,,,,,,Spike_1,Spike_2,Spike_3,Spike_4,Spike_5,Spike_1,Spike_2,Spike_3,Spike_4,Spike_5
1,1,1,Apache,elite,1,0,0,0,0,0,0,0,0,0,0
1,1,1,Apache,elite,2,0,0,0,1,3,0,0,0,46.5,135.7
1,1,1,Apache,elite,3,2,3,1,3,4,70.2,134.3,45.7,162.9,188.4
1,1,1,Apache,elite,4,3,3,3,2,4,164,157.2,174.3,91,201.4
1,1,1,Apache,elite,5,3,4,3,4,4,174.1,199.8,165.1,218.1,210.7
1,1,1,Apache,elite,6,3,4,4,4,4,181.8,212.6,209.7,188.3,216.4
1,1,1,Apache,elite,7,4,4,4,4,4,206.4,216.6,192.1,232.5,218.6
1,1,1,Apache,elite,8,4,4,4,4,4,206.8,211.7,223.8,237.9,211.5
1,1,1,Apache,elite,9,4,4,6,4,4,214.6,221.4,306.9,242.4,206.9
1,1,1,Apache,elite,10,3,4,4,3,4,176.9,209.7,215.4,186.8,211.4
1,1,1,Apache,elite,11,3,4,4,4,4,173,203,207.5,222.4,211.4
1,1,1,Apache,elite,12,3,4,4,5,3,170.8,215.1,207.7,244.7,143.1
1,1,1,Apache,elite,13,3,4,4,3,4,163.8,181.3,200.3,165,170.9
1,1,1,Apache,elite,14,3,3,2,3,3,159,121.1,85.6,153.3,152.9
1,1,1,Apache,elite,15,3,3,3,3,3,142.9,128.4,147.8,155.9,100.3
1,1,1,Apache,elite,16,3,2,3,3,3,117.5,94.8,154.1,126.3,133.7
1,1,1,Apache,elite,17,2,2,3,2,3,99.2,82,150.8,108.8,112.3
1,1,1,Apache,elite,18,2,2,3,2,3,90.1,61.9,108.3,90.7,105.9
1,1,1,Apache,elite,19,2,2,2,2,2,81.2,74.6,73.4,84,82.4
1,1,1,Apache,elite,20,2,2,3,2,1,65.9,60.3,100.7,68.5,34.5
1,1,1,Apache,elite,21,1,NA,2,1,2,39,NA,47.7,36.6,65.8
2,1,2,TRI4884,resource,1,0,0,3,0,0,0,0,104.9,0,0
2,1,2,TRI4884,resource,2,3,2,4,2,1,126.8,84.2,181.8,94.1,22.4
2,1,2,TRI4884,resource,3,3,3,3,3,3,155,152.4,142.4,157.6,141.8
2,1,2,TRI4884,resource,4,4,3,4,4,2,170.3,154.9,197.9,177.8,105.7
2,1,2,TRI4884,resource,5,3,3,3,4,3,157.5,174.1,146.7,185.7,157
2,1,2,TRI4884,resource,6,4,3,4,4,3,187.1,159,187.8,196.8,140.7
2,1,2,TRI4884,resource,7,4,3,4,4,4,188.5,181.3,182,181.2,207.6
2,1,2,TRI4884,resource,8,3,3,3,3,4,152.8,161.3,161.5,157.1,178.1
2,1,2,TRI4884,resource,9,3,3,3,4,4,153.9,176.5,148.9,200.5,214.1
2,1,2,TRI4884,resource,10,3,3,4,4,4,153.5,163,194.6,179.5,212.2
2,1,2,TRI4884,resource,11,3,3,3,4,3,164.2,175.1,142.4,202.7,177.8
2,1,2,TRI4884,resource,12,3,3,3,3,3,137.2,164.4,157.6,149.7,154.6
2,1,2,TRI4884,resource,13,3,2,3,2,3,156.8,109.5,148.5,146.8,162.6
2,1,2,TRI4884,resource,14,3,3,3,3,3,149.8,147.9,150.8,103.1,147
2,1,2,TRI4884,resource,15,2,3,2,2,3,82.2,132.3,96.5,159.7,164.5
2,1,2,TRI4884,resource,16,3,2,3,2,3,156.1,103.6,114.9,95.7,149.1
2,1,2,TRI4884,resource,17,3,1,2,2,3,150.1,12.8,97.9,107.3,140.1
2,1,2,TRI4884,resource,18,3,2,2,2,3,121.2,97.1,98.4,99.7,146.1
2,1,2,TRI4884,resource,19,2,2,1,2,2,101.6,103.4,47.8,103.8,99.6
2,1,2,TRI4884,resource,20,3,2,2,2,2,138,92.9,93.8,94.1,104.4
2,1,2,TRI4884,resource,21,3,2,2,2,1,136.3,91.4,85.3,90.5,45.7
2,1,2,TRI4884,resource,22,2,2,2,1,2,103,84.9,92.2,44.3,92.7
2,1,2,TRI4884,resource,23,2,NA,2,1,2,93.9,NA,76.6,38.8,91.1
2,1,2,TRI4884,resource,24,2,NA,2,1,1,92.5,NA,72.8,42.4,25.3
2,1,2,TRI4884,resource,25,2,NA,1,0,1,89.4,NA,37.7,0,41.4
2,1,2,TRI4884,resource,26,2,NA,NA,NA,NA,84.5,NA,NA,NA,NA
2,1,2,TRI4884,resource,27,2,NA,NA,NA,NA,87.4,NA,NA,NA,NA
2,1,2,TRI4884,resource,28,2,NA,NA,NA,NA,50.6,NA,NA,NA,NA
3,1,3,TRI4955,resource,1,0,2,1,0,0,0,71.4,33.5,0,0
3,1,3,TRI4955,resource,2,2,2,3,2,2,7.7,89.6,111.4,73.3,81
3,1,3,TRI4955,resource,3,3,3,3,3,3,146,128.9,118,123.7,124.7
3,1,3,TRI4955,resource,4,3,3,4,2,2,129.7,152,162.1,97.6,101.4
3,1,3,TRI4955,resource,5,3,3,3,3,2,114.8,129.1,135.2,127.3,92.9
3,1,3,TRI4955,resource,6,3,3,3,2,2,144.6,136.2,138.8,94.1,95.8
3,1,3,TRI4955,resource,7,3,4,3,3,2,148.2,170.1,144.8,131.5,97.8
3,1,3,TRI4955,resource,8,3,3,3,2,2,141.2,107,128.8,94.6,110.8
3,1,3,TRI4955,resource,9,3,3,3,2,2,141,138.3,145.3,96.6,100
3,1,3,TRI4955,resource,10,2,3,3,2,2,96,137.1,131.6,94.5,102.2
3,1,3,TRI4955,resource,11,3,3,3,2,3,118.7,131,119.2,74.1,108.7
3,1,3,TRI4955,resource,12,2,3,3,2,2,94.9,135.6,128,96.6,105.1
3,1,3,TRI4955,resource,13,3,2,2,2,2,138.7,51.4,64.4,89.7,99.6
3,1,3,TRI4955,resource,14,2,3,2,2,2,94.2,127.8,82.6,91.2,97.5
3,1,3,TRI4955,resource,15,2,2,2,2,2,94.6,81.9,93.4,83.3,93.1
3,1,3,TRI4955,resource,16,2,3,2,2,2,90.6,120.6,83.6,87.8,98.8
3,1,3,TRI4955,resource,17,3,2,2,2,2,93.7,83.3,88.6,84.1,87.5
3,1,3,TRI4955,resource,18,2,2,2,1,2,85.4,82.2,86.8,39,94.8
3,1,3,TRI4955,resource,19,2,2,2,2,2,87.5,75.8,85.6,75.2,81.4
3,1,3,TRI4955,resource,20,2,2,2,2,2,85.8,62.2,77.2,71.9,82.1
3,1,3,TRI4955,resource,21,2,2,2,1,2,69.2,61.2,72.9,38.2,74.6
3,1,3,TRI4955,resource,22,1,2,2,2,2,35.9,64.9,67.1,50.9,55.2
3,1,3,TRI4955,resource,23,1,1,2,2,1,30.5,30.8,64.3,47,38
3,1,3,TRI4955,resource,24,NA,NA,2,NA,NA,NA,NA,59,NA,NA
4,1,4,TRI9332,resource,1,0,2,2,0,0,0,59.7,80.6,0,0
4,1,4,TRI9332,resource,2,0,3,2,1,2,0,156,108.9,31.3,60
4,1,4,TRI9332,resource,3,1,3,2,3,3,49.4,162.1,154.5,120.5,129.4
4,1,4,TRI9332,resource,4,2,3,3,3,3,86,171.3,161.9,147.8,147.4
4,1,4,TRI9332,resource,5,3,3,3,3,1,150.1,191.2,172.1,164.9,42.8
4,1,4,TRI9332,resource,6,2,4,3,3,3,62.6,226.1,176,164.4,169.8
4,1,4,TRI9332,resource,7,3,4,3,3,2,159.8,225.8,155.3,187,109.7
4,1,4,TRI9332,resource,8,3,4,3,3,3,165.4,238.1,177.5,171.3,185.4
4,1,4,TRI9332,resource,9,3,4,3,3,0,166.5,232.7,158.6,186.6,0
4,1,4,TRI9332,resource,10,3,4,3,3,3,174.6,243.4,191,186,179.9
4,1,4,TRI9332,resource,11,3,4,3,3,1,165.7,190.4,188.6,182.4,40
4,1,4,TRI9332,resource,12,3,3,3,3,3,168.1,197.7,196.1,180.6,165.9
4,1,4,TRI9332,resource,13,3,3,3,3,3,173.8,204.2,180,181.4,165.8
4,1,4,TRI9332,resource,14,3,4,3,3,2,158.1,212.8,181.1,164.4,124.4
4,1,4,TRI9332,resource,15,3,4,3,3,3,145.2,218.1,153.7,171.4,156.2
4,1,4,TRI9332,resource,16,2,2,3,3,2,112.7,117.1,155.6,164.3,115.2
4,1,4,TRI9332,resource,17,2,2,2,2,2,104.6,118.9,124.8,126.8,106.1
4,1,4,TRI9332,resource,18,2,2,2,3,2,104.8,120.4,102.5,143.4,102.5
4,1,4,TRI9332,resource,19,2,2,2,2,2,96.9,108.9,107.5,116.7,98.1
4,1,4,TRI9332,resource,20,2,3,2,2,2,89.4,105.5,103.6,106.5,100.6
4,1,4,TRI9332,resource,21,2,2,2,2,2,75.9,104.8,97.8,97.5,88.1
4,1,4,TRI9332,resource,22,NA,NA,2,1,2,NA,NA,84.9,48,83.8
5,1,5,TRI9433,resource,1,0,0,0,0,0,0,0,0,0,0
5,1,5,TRI9433,resource,2,0,0,0,0,0,0,0,0,0,0
5,1,5,TRI9433,resource,3,3,0,2,0,1,112.9,0,82.5,0,29.4
5,1,5,TRI9433,resource,4,3,2,3,2,2,114.9,81.8,126.6,84.3,78.1
5,1,5,TRI9433,resource,5,3,2,3,3,3,114.8,94.4,138,135,122.8
5,1,5,TRI9433,resource,6,4,3,4,3,3,120.2,137.5,180.3,132.7,125.1
5,1,5,TRI9433,resource,7,4,3,4,3,3,179,116.3,172.6,144.6,135.5
5,1,5,TRI9433,resource,8,4,4,4,3,3,128.2,152.3,192.4,144.1,141.4
5,1,5,TRI9433,resource,9,3,4,4,3,2,157,155.6,187.8,145.9,103
5,1,5,TRI9433,resource,10,4,4,4,3,3,168,181.1,195.7,146.2,146.6
5,1,5,TRI9433,resource,11,2,3,4,4,3,78,156.8,190.8,178.1,138.4
5,1,5,TRI9433,resource,12,3,3,4,2,3,133.3,166.7,191.5,111.9,148.5
5,1,5,TRI9433,resource,13,3,3,1,2,3,147.4,144.9,59.9,107.1,125.2
5,1,5,TRI9433,resource,14,4,4,3,2,3,195.1,194.9,135.2,115.2,150.2
5,1,5,TRI9433,resource,15,3,3,3,3,3,149.9,149.1,146.4,161.4,147.7
5,1,5,TRI9433,resource,16,3,3,3,3,3,155.4,151.7,142.2,156.5,113
5,1,5,TRI9433,resource,17,3,3,4,3,2,142.7,151,173.4,64.1,104.3
5,1,5,TRI9433,resource,18,3,2,3,2,2,63.1,105.4,143,98.6,63.5
5,1,5,TRI9433,resource,19,3,2,3,3,2,137.3,98.5,134.9,135.2,90.5
5,1,5,TRI9433,resource,20,3,2,3,2,1,136.4,94.4,123.4,97.1,51
5,1,5,TRI9433,resource,21,2,2,2,2,2,100.8,86.4,90.9,68.4,92.8
5,1,5,TRI9433,resource,22,2,1,1,1,2,98.1,33.8,37.7,41.9,81.6
5,1,5,TRI9433,resource,23,2,1,1,2,2,93.7,40.1,46.4,76.7,63
5,1,5,TRI9433,resource,24,2,NA,2,1,1,75.1,NA,66.9,28.2,13.5
5,1,5,TRI9433,resource,25,1,NA,NA,NA,NA,44.5,NA,NA,NA,NA
5,1,5,TRI9433,resource,26,2,NA,NA,NA,NA,65.3,NA,NA,NA,NA
6,1,6,TRI11900,resource,1,0,0,0,0,0,0,0,0,0,0
6,1,6,TRI11900,resource,2,2,1,2,2,0,84.1,40.4,80.8,106.4,0
6,1,6,TRI11900,resource,3,2,2,2,3,2,102.9,85.1,28.8,121.3,105.3
6,1,6,TRI11900,resource,4,3,3,3,3,2,159.9,163.3,156.1,174.6,112.1
6,1,6,TRI11900,resource,5,2,3,3,3,2,85,188.8,178.1,174.1,124.6
6,1,6,TRI11900,resource,6,3,2,3,3,3,179.4,134.7,181.4,198.1,183.9
6,1,6,TRI11900,resource,7,3,3,3,3,2,138.4,212,190.8,149,117.9
6,1,6,TRI11900,resource,8,3,3,3,3,3,163.1,207.6,191.7,205.8,192.5
6,1,6,TRI11900,resource,9,3,3,3,3,3,128.9,198.1,192.9,208.5,180.4
6,1,6,TRI11900,resource,10,3,3,3,3,3,179.8,149.3,189,199.2,194.5
6,1,6,TRI11900,resource,11,3,3,3,3,3,178,191,191.6,205.2,146.5
6,1,6,TRI11900,resource,12,3,3,3,3,3,188.6,200.1,175,188.8,189.5
6,1,6,TRI11900,resource,13,3,3,2,3,3,178.1,207.3,128.5,193.1,178.3
6,1,6,TRI11900,resource,14,3,3,2,3,3,181.8,159.7,127.1,192.4,180.4
6,1,6,TRI11900,resource,15,2,3,2,3,3,129,194.8,119.7,149.6,154.7
6,1,6,TRI11900,resource,16,2,3,2,3,3,122.1,169.8,112.4,135.9,127.1
6,1,6,TRI11900,resource,17,2,2,2,2,2,119.5,115.3,99.7,75,118.7
6,1,6,TRI11900,resource,18,2,2,NA,2,2,114.6,117.5,NA,113.3,119
6,1,6,TRI11900,resource,19,2,2,NA,2,1,109.1,126.2,NA,109.9,50.6
6,1,6,TRI11900,resource,20,2,2,NA,NA,2,93,118.5,NA,NA,97.3
6,1,6,TRI11900,resource,21,1,1,NA,NA,NA,44.4,60.3,NA,NA,NA
6,1,6,TRI11900,resource,22,NA,2,NA,NA,NA,NA,100.8,NA,NA,NA
7,1,7,TRI11902,resource,1,0,0,0,0,0,0,0,0,0,0
7,1,7,TRI11902,resource,2,0,2,1,0,0,0,82.9,39.4,0,0
7,1,7,TRI11902,resource,3,3,3,3,2,2,126,146.9,131.2,87,80.1
7,1,7,TRI11902,resource,4,2,4,3,3,3,98.8,152.5,139.7,132,129.8
7,1,7,TRI11902,resource,5,3,4,3,2,3,107.8,164.6,154,102.5,135.9
7,1,7,TRI11902,resource,6,3,4,4,3,3,146,168.9,192.5,144.7,114.6
7,1,7,TRI11902,resource,7,4,3,4,3,3,204.1,142.4,180.6,143.2,159.7
7,1,7,TRI11902,resource,8,3,4,4,4,3,150.4,173,192.8,178.7,135
7,1,7,TRI11902,resource,9,3,3,4,4,3,154.8,142.7,189.5,193.2,154.4
7,1,7,TRI11902,resource,10,4,2,4,4,3,189.5,99.6,191,182.5,152.4
7,1,7,TRI11902,resource,11,4,3,3,4,3,205.1,143.5,144.6,184.2,136.1
7,1,7,TRI11902,resource,12,3,3,4,2,2,157.6,136.6,188,98.8,145
7,1,7,TRI11902,resource,13,3,4,3,3,2,149.6,182.9,156.6,153.3,85.5
7,1,7,TRI11902,resource,14,3,4,3,3,3,132.8,178.1,141.4,159.1,143.6
7,1,7,TRI11902,resource,15,3,4,3,3,3,147.2,182.8,151.6,140.5,140.9
7,1,7,TRI11902,resource,16,3,4,3,3,3,129.3,168,135.5,131,126.7
7,1,7,TRI11902,resource,17,2,2,2,3,3,103.4,82.2,85.2,132.8,120.7
7,1,7,TRI11902,resource,18,2,2,2,2,2,91.9,74.2,90.7,95.5,87.5
7,1,7,TRI11902,resource,19,2,2,2,2,1,91.8,73.4,80.5,91.7,46.5
7,1,7,TRI11902,resource,20,2,2,0,2,2,81.4,63.5,0,84.5,80.6
7,1,7,TRI11902,resource,21,2,NA,2,2,2,77.5,NA,60.7,79.6,69.7
7,1,7,TRI11902,resource,22,2,NA,NA,2,1,62.7,NA,NA,55.9,35.8
7,1,7,TRI11902,resource,23,1,NA,NA,NA,1,16.7,NA,NA,NA,32.1
8,1,8,TRI19498,resource,1,0,0,0,0,0,0,0,0,0,0
8,1,8,TRI19498,resource,2,3,2,2,2,2,71,60.8,69.1,65.4,66.6
8,1,8,TRI19498,resource,3,4,3,3,3,3,110.7,97.3,97.5,117.3,106.1
8,1,8,TRI19498,resource,4,4,4,4,2,3,146.9,123.2,133.9,77,122.9
8,1,8,TRI19498,resource,5,4,3,3,2,3,141.4,114.8,110.3,83.3,115.9
8,1,8,TRI19498,resource,6,4,4,4,4,3,156.2,122.5,153.4,154.3,124
8,1,8,TRI19498,resource,7,3,3,4,3,3,121.3,117.9,145.1,118,124.3
8,1,8,TRI19498,resource,8,4,3,3,3,3,154.4,116,114,135.7,131.9
8,1,8,TRI19498,resource,9,3,3,3,3,3,120.1,105.6,112,120.3,127.9
8,1,8,TRI19498,resource,10,4,3,3,4,3,145.9,102,116.6,161.8,120.8
8,1,8,TRI19498,resource,11,3,3,3,3,3,133.4,115.1,124,125.4,128.3
8,1,8,TRI19498,resource,12,3,3,3,3,3,113.5,115,121.1,127.8,111.9
8,1,8,TRI19498,resource,13,2,3,3,3,3,77.2,104.3,108.9,123.4,82.3
8,1,8,TRI19498,resource,14,3,2,3,3,2,105.7,78.4,104.2,120.5,79.6
8,1,8,TRI19498,resource,15,2,2,2,2,2,77.8,69.3,62.1,79.6,76.8
8,1,8,TRI19498,resource,16,2,2,2,2,2,67.9,72.1,66.9,77.6,77.8
8,1,8,TRI19498,resource,17,3,2,2,1,2,83.6,62.3,61.6,34,61.7
8,1,8,TRI19498,resource,18,2,2,2,2,2,49.9,52.9,53.8,69.7,60.8
8,1,8,TRI19498,resource,19,2,2,2,2,1,46.3,50,48.6,50.1,12.1
8,1,8,TRI19498,resource,20,0,1,1,1,1,0,18.5,23.1,23.8,22.4
8,1,8,TRI19498,resource,21,NA,1,NA,1,1,NA,20.8,NA,29.5,30.8
9,1,9,TRI19517,resource,1,0,0,0,0,0,0,0,0,0,0
9,1,9,TRI19517,resource,2,0,2,0,1,0,0,55.4,0,35.8,0
9,1,9,TRI19517,resource,3,2,3,0,3,1,82.6,119.4,0,132.5,26.8
9,1,9,TRI19517,resource,4,2,3,3,3,3,92.1,143.5,137.2,139.6,107.6
9,1,9,TRI19517,resource,5,3,3,3,3,3,138.3,110,131.8,150.5,121.7
9,1,9,TRI19517,resource,6,3,2,3,3,3,147.5,102.1,140.6,157.3,95.3
9,1,9,TRI19517,resource,7,3,2,3,3,2,135.4,101.3,139.1,151.6,86.5
9,1,9,TRI19517,resource,8,3,2,3,2,3,141.7,106.3,151,99.4,122.8
9,1,9,TRI19517,resource,9,3,1,2,3,2,127.7,57.7,105.8,149.6,80.6
9,1,9,TRI19517,resource,10,3,2,2,2,3,127.5,29.2,109.2,88.6,126.5
9,1,9,TRI19517,resource,11,3,3,3,3,3,133.6,153.4,133.1,148.8,129.6
9,1,9,TRI19517,resource,12,3,3,2,3,2,134.5,129.8,105.4,138.9,77.7
9,1,9,TRI19517,resource,13,2,3,3,3,3,85,156,133.3,104.8,112
9,1,9,TRI19517,resource,14,3,3,2,3,2,129.6,136.1,56.1,137.9,84.8
9,1,9,TRI19517,resource,15,3,3,2,3,2,127.2,151.7,95.9,115.6,79.3
9,1,9,TRI19517,resource,16,3,3,2,3,3,92.8,111.1,97.4,112.4,114.7
9,1,9,TRI19517,resource,17,3,3,2,2,2,126.9,138.5,92,86.3,80.9
9,1,9,TRI19517,resource,18,2,2,1,2,3,88.3,98.5,48.5,94.5,119.4
9,1,9,TRI19517,resource,19,2,3,2,2,2,85.7,138.3,93.5,98.3,77.2
9,1,9,TRI19517,resource,20,2,3,1,2,2,86.3,132.4,44.3,96.5,73.6
9,1,9,TRI19517,resource,21,2,2,2,2,2,79.5,98.7,85.8,98.8,58.5
9,1,9,TRI19517,resource,22,2,2,2,2,1,78.1,86.4,84.4,93.9,32.5
9,1,9,TRI19517,resource,23,2,2,2,2,2,77.5,93.6,73,88.8,65.9
9,1,9,TRI19517,resource,24,2,2,2,2,1,68.1,76.6,79.2,85.6,35.5
9,1,9,TRI19517,resource,25,1,2,1,1,1,34.9,70.2,42.7,45,27.9
9,1,9,TRI19517,resource,26,1,1,1,2,1,29.7,36.3,34.7,69,26
10,1,10,TRI29589,resource,1,0,0,0,0,0,0,0,0,0,0
10,1,10,TRI29589,resource,2,0,0,2,0,0,0,0,57,0,0
10,1,10,TRI29589,resource,3,1,2,3,2,2,16.4,80.3,138.3,81.7,90.3
10,1,10,TRI29589,resource,4,4,3,3,1,3,193.7,136.5,125.6,49.3,84.3
10,1,10,TRI29589,resource,5,4,3,3,2,3,197,147.2,155,108.1,142.4
10,1,10,TRI29589,resource,6,4,2,3,4,3,194.7,96.8,159.8,172.3,155.3
10,1,10,TRI29589,resource,7,4,4,4,4,3,159.3,199.7,206.6,196.9,183.4
10,1,10,TRI29589,resource,8,4,3,4,3,3,188.2,145.7,204.4,149.5,160
10,1,10,TRI29589,resource,9,4,4,4,3,3,210.4,212.3,208.2,166.9,157.9
10,1,10,TRI29589,resource,10,3,3,4,3,4,159,117.9,194.8,161.7,184.2
10,1,10,TRI29589,resource,11,3,3,4,3,4,143.6,141.2,188.2,159.8,200.2
10,1,10,TRI29589,resource,12,3,4,4,3,3,109.8,175.8,174.2,143.7,157.5
10,1,10,TRI29589,resource,13,3,4,2,3,3,102.2,184.7,102.8,134.3,154.2
10,1,10,TRI29589,resource,14,2,2,3,2,3,101.7,80,136,93.4,131.7
10,1,10,TRI29589,resource,15,1,3,2,2,3,44.3,148.5,82.6,81.4,128.4
10,1,10,TRI29589,resource,16,1,2,2,2,3,45.1,96,82.5,90.2,122.9
10,1,10,TRI29589,resource,17,NA,3,2,2,2,NA,127.9,91.3,66.5,92.2
10,1,10,TRI29589,resource,18,NA,1,NA,2,1,NA,43.8,NA,68.9,27.3
10,1,10,TRI29589,resource,19,NA,2,NA,NA,NA,NA,83.3,NA,NA,NA
11,1,11,Glaucus,elite,1,0,0,0,0,0,0,0,0,0,0
11,1,11,Glaucus,elite,2,4,2,1,0,0,139.5,101.3,42.7,0,0
11,1,11,Glaucus,elite,3,4,2,3,3,2,133.3,121,73.8,134.5,108.6
11,1,11,Glaucus,elite,4,4,3,4,3,3,171.9,151.2,196.8,168.1,155.1
11,1,11,Glaucus,elite,5,5,4,3,3,2,198.2,191.7,160.9,162.2,120.7
11,1,11,Glaucus,elite,6,4,4,3,3,2,171.3,176.2,159.4,177.4,125.1
11,1,11,Glaucus,elite,7,3,3,4,4,3,143.4,170.5,200.9,235.2,155.7
11,1,11,Glaucus,elite,8,4,4,4,3,3,186.8,178,187.8,183.5,154.4
11,1,11,Glaucus,elite,9,4,4,4,3,3,169,169,189.6,184.7,154.3
11,1,11,Glaucus,elite,10,4,5,4,4,3,184.2,230.1,213,212.9,152.4
11,1,11,Glaucus,elite,11,3,4,4,3,3,135.1,196,181.1,177.8,157.7
11,1,11,Glaucus,elite,12,5,4,3,3,3,232.9,193.1,127.3,186,158.4
11,1,11,Glaucus,elite,13,4,4,3,6,3,175,184.4,166.6,335.1,149.8
11,1,11,Glaucus,elite,14,4,3,3,3,3,161.7,179,164.9,170.7,153.3
11,1,11,Glaucus,elite,15,3,3,3,3,3,133.1,168.9,165.2,152.3,145.7
11,1,11,Glaucus,elite,16,3,3,3,3,2,120.1,160.6,133.6,161.6,111.3
